ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-07-13T00:00:40.520248+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:01:41.042789+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:02:41.663471+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:03:42.154179+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:04:43.110929+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:05:43.826660+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:06:45.068002+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:07:46.230462+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:08:46.762702+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:09:47.501962+02:00;standby;24.2;30.4;5.0;25.0;54.2;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:10:48.918066+02:00;standby;24.2;30.4;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:11:49.913791+02:00;standby;24.2;30.4;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:12:50.443855+02:00;standby;24.2;30.4;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:13:50.910217+02:00;standby;24.2;30.4;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:14:51.345233+02:00;standby;24.2;30.2;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:15:52.707946+02:00;standby;24.2;30.2;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:16:53.302901+02:00;standby;24.2;30.2;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:17:53.850501+02:00;standby;24.2;30.2;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:18:54.693836+02:00;standby;24.2;30.2;5.0;25.0;54.1;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:19:55.513043+02:00;standby;24.2;30.2;5.0;25.0;54.0;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:20:55.999335+02:00;standby;24.2;30.2;5.0;25.0;54.0;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:21:56.664958+02:00;standby;24.2;30.2;5.0;25.0;54.0;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:22:57.399770+02:00;standby;24.2;30.2;5.0;25.0;54.0;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
2026-07-13T00:23:58.065876+02:00;standby;24.2;30.2;5.0;25.0;54.0;10.0;0;0;0;0;16386.21;11280.08;5106.13;32432.096
