ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-07-20T00:00:39.699201+02:00;standby;19.6;29.2;5.0;25.0;51.9;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:01:40.175164+02:00;standby;19.6;29.2;5.0;25.0;51.9;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:02:40.802892+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:03:41.778376+02:00;standby;19.6;29.2;5.0;25.0;51.9;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:04:42.352835+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:05:42.816989+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:06:43.333137+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:07:43.812844+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:08:44.799837+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:09:45.656839+02:00;standby;19.6;29.0;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:10:46.461630+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:11:47.061864+02:00;standby;19.6;29.2;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:12:47.792237+02:00;standby;19.6;29.0;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:13:48.668138+02:00;standby;19.6;29.0;5.0;25.0;51.8;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:14:50.610518+02:00;standby;19.6;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:15:51.386921+02:00;standby;19.6;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:16:51.925101+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:17:52.624659+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:18:53.256988+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:19:53.730187+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:20:54.438879+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:21:55.060343+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:22:55.792208+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:23:56.355549+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:24:56.933896+02:00;standby;18.9;29.0;5.0;25.0;51.7;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:25:57.705205+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:26:58.323078+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:27:59.055485+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:28:59.632001+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:30:00.299462+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:31:00.911393+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:32:01.483436+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:33:02.103380+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
2026-07-20T00:34:02.697771+02:00;standby;18.9;29.0;5.0;25.0;51.6;10.0;0;0;0;0;16409.35;11280.08;5129.28;32434.387
