ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-05-04T00:00:53.661473;standby;16.7;26.5;26.0;26.0;56.4;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:01:54.260929;standby;16.7;26.3;26.0;26.0;56.4;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:02:54.798695;standby;16.7;26.3;26.0;26.0;56.4;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:03:55.481778;standby;16.7;26.3;26.0;26.0;56.4;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:04:56.004213;standby;16.7;26.3;26.0;26.0;56.4;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:05:56.563875;standby;16.7;26.3;26.0;26.0;56.3;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:06:57.548929;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:07:58.084433;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;37;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:08:58.968765;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:09:59.528489;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:11:00.108972;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:12:00.669308;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:13:01.320300;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:14:02.209304;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:15:03.661660;standby;16.7;26.2;26.0;26.0;56.3;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
2026-05-04T00:16:04.341966;standby;16.7;26.2;26.0;26.0;56.2;10.0;0;0;1;41;15920.57;11169.5;4751.07;32385.777
