ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-08-03T00:00:16.639701+02:00;standby;27.1;29.7;5.0;25.0;51.3;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:01:17.061022+02:00;standby;27.1;29.7;5.0;25.0;51.3;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:02:17.523487+02:00;standby;27.1;29.9;5.0;25.0;51.3;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:03:18.095027+02:00;standby;27.1;29.7;5.0;25.0;51.3;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:04:18.518936+02:00;standby;27.1;29.7;5.0;25.0;51.3;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:05:18.999475+02:00;standby;27.1;29.7;5.0;25.0;51.3;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:06:20.211653+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:07:20.737822+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:08:21.409582+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:09:21.926461+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:10:22.901371+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:11:23.368905+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:12:23.904958+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:13:24.572537+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:14:25.011809+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:15:25.657804+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:16:26.125440+02:00;standby;27.1;29.7;5.0;25.0;51.2;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:17:26.634157+02:00;standby;27.1;29.7;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:18:27.054449+02:00;standby;27.1;29.7;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:19:27.708836+02:00;standby;27.1;29.7;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:20:28.151746+02:00;standby;27.1;29.6;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:21:28.671603+02:00;standby;27.1;29.6;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:22:29.148154+02:00;standby;27.1;29.7;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:23:29.605903+02:00;standby;27.1;29.6;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:24:30.120887+02:00;standby;27.1;29.7;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:25:30.557893+02:00;standby;27.1;29.6;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:26:31.105944+02:00;standby;27.1;29.6;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
2026-08-03T00:27:31.614984+02:00;standby;27.1;29.6;5.0;25.0;51.1;10.0;0;0;0;0;16466.97;11280.08;5186.89;32440.064
