ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-08-10T00:00:46.175877+02:00;standby;25.0;62.7;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:01:46.644070+02:00;standby;25.0;62.4;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:02:47.275944+02:00;standby;25.0;62.3;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:03:47.755881+02:00;standby;25.0;62.2;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:04:48.204080+02:00;standby;25.0;62.1;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:05:48.866295+02:00;standby;25.0;62.0;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:06:49.447999+02:00;standby;25.0;61.9;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:07:49.882109+02:00;standby;25.0;61.7;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:08:50.406359+02:00;standby;25.0;61.6;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:09:50.845915+02:00;standby;25.0;61.4;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:10:51.267347+02:00;standby;25.0;61.3;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:11:52.044634+02:00;standby;25.0;61.2;5.0;25.0;59.7;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:12:52.514876+02:00;standby;25.0;61.0;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:13:52.976767+02:00;standby;25.0;60.9;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:14:53.500325+02:00;standby;25.0;60.7;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:15:54.126591+02:00;standby;25.0;60.6;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:16:54.964655+02:00;standby;25.0;60.5;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:17:55.518833+02:00;standby;25.0;60.3;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:18:55.953942+02:00;standby;25.0;60.1;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:19:56.448844+02:00;standby;25.0;60.0;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:20:56.964993+02:00;standby;25.0;59.9;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:21:57.413562+02:00;standby;25.0;59.8;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:22:58.081067+02:00;standby;25.0;59.7;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:23:58.548760+02:00;standby;25.0;59.4;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:24:59.178065+02:00;standby;25.0;59.3;5.0;25.0;59.6;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:25:59.625195+02:00;standby;25.0;59.2;5.0;25.0;59.5;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:27:00.162298+02:00;standby;25.0;59.0;5.0;25.0;59.5;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
2026-08-10T00:28:00.669421+02:00;standby;25.0;58.9;5.0;25.0;59.5;10.0;0;0;0;0;16497.26;11280.08;5217.18;32443.053
