ts;mode;outdoor_temp;flow_temp;flow_set_temp;target_flow_temp;dhw_temp;dhw_set_temp;burner_active;burner_power;pump_active;pump_modulation;energy_total_kwh;energy_heat_kwh;energy_dhw_kwh;gas_display_m3
2026-08-17T00:00:34.933133+02:00;standby;25.9;30.1;5.0;25.0;49.9;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:01:35.516302+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:02:36.135531+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:03:36.811648+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:04:37.733373+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:05:38.830362+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:06:39.475145+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:07:40.271452+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:08:41.206761+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:09:42.297566+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
2026-08-17T00:10:42.764326+02:00;standby;25.9;30.1;5.0;25.0;49.8;10.0;0;0;0;0;16521.16;11280.08;5241.08;32445.344
